datetime_CST,Wind_CF,wind_speed,PV_CF,DNI,DHI,Temperature
2022-01-01 08:00:00,0.328,6.893,0.178,0.098,0.114,15.0
2022-01-01 09:00:00,0.328,6.891,0.386,0.269,0.179,16.516
2022-01-01 10:00:00,0.3,6.679,0.55,0.451,0.208,18.12
2022-01-01 11:00:00,0.252,6.276,0.623,0.523,0.241,19.295
2022-01-01 12:00:00,0.22,5.986,0.66,0.57,0.25,20.083
2022-01-01 13:00:00,0.201,5.804,0.641,0.546,0.249,20.664
2022-01-01 14:00:00,0.207,5.87,0.557,0.436,0.243,21.036
2022-01-01 15:00:00,0.245,6.213,0.399,0.251,0.224,21.101
2022-01-01 16:00:00,0.314,6.793,0.216,0.101,0.159,20.864
2022-01-01 17:00:00,0.392,7.382,0.048,0.019,0.055,20.159
2022-01-01 18:00:00,0.504,8.207,0.0,0.0,0.0,18.924
2022-01-01 19:00:00,0.599,8.91,0.0,0.0,0.0,17.907
2022-01-01 20:00:00,0.627,9.136,0.0,0.0,0.0,16.866
2022-01-01 21:00:00,0.597,8.895,0.0,0.0,0.0,15.989
2022-01-01 22:00:00,0.556,8.582,0.0,0.0,0.0,15.329
2022-01-01 23:00:00,0.501,8.182,0.0,0.0,0.0,14.916
2022-01-02 00:00:00,0.476,7.99,0.0,0.0,0.0,14.653
2022-01-02 01:00:00,0.46,7.885,0.0,0.0,0.0,14.433
2022-01-02 02:00:00,0.466,7.928,0.0,0.0,0.0,14.213
2022-01-02 03:00:00,0.481,8.031,0.0,0.0,0.0,13.999
2022-01-02 04:00:00,0.504,8.202,0.0,0.0,0.0,13.817
2022-01-02 05:00:00,0.527,8.374,0.0,0.0,0.0,13.717
2022-01-02 06:00:00,0.543,8.485,0.0,0.0,0.0,13.632
2022-01-02 07:00:00,0.576,8.735,0.003,0.004,0.015,13.621
2022-01-02 08:00:00,0.601,8.921,0.116,0.039,0.107,14.253
2022-01-02 09:00:00,0.532,8.4,0.313,0.163,0.199,15.466
2022-01-02 10:00:00,0.444,7.762,0.525,0.402,0.222,17.208
2022-01-02 11:00:00,0.317,6.812,0.624,0.523,0.239,18.813
2022-01-02 12:00:00,0.183,5.629,0.665,0.583,0.244,20.028
2022-01-02 13:00:00,0.085,4.434,0.65,0.568,0.241,20.802
2022-01-02 14:00:00,0.031,3.398,0.589,0.505,0.22,21.359
2022-01-02 15:00:00,0.009,2.654,0.463,0.364,0.193,21.709
2022-01-02 16:00:00,0.003,2.175,0.279,0.187,0.147,21.77
2022-01-02 17:00:00,0.0,1.669,0.069,0.038,0.06,21.298
2022-01-02 18:00:00,0.0,1.309,0.0,0.0,0.0,20.571
2022-01-02 19:00:00,0.0,1.514,0.0,0.0,0.0,19.956
2022-01-02 20:00:00,0.001,1.879,0.0,0.0,0.0,19.22
2022-01-02 21:00:00,0.004,2.264,0.0,0.0,0.0,18.47
2022-01-02 22:00:00,0.008,2.619,0.0,0.0,0.0,17.791
2022-01-02 23:00:00,0.017,2.991,0.0,0.0,0.0,17.215
2022-01-03 00:00:00,0.026,3.268,0.0,0.0,0.0,16.801
2022-01-03 01:00:00,0.024,3.196,0.0,0.0,0.0,16.51
2022-01-03 02:00:00,0.015,2.93,0.0,0.0,0.0,16.304
2022-01-03 03:00:00,0.017,2.981,0.0,0.0,0.0,16.041
2022-01-03 04:00:00,0.032,3.439,0.0,0.0,0.0,15.68
2022-01-03 05:00:00,0.05,3.833,0.0,0.0,0.0,15.351
2022-01-03 06:00:00,0.07,4.194,0.0,0.0,0.0,15.126
2022-01-03 07:00:00,0.093,4.547,0.01,0.011,0.018,15.189
2022-01-03 08:00:00,0.085,4.437,0.203,0.134,0.108,16.55
2022-01-03 09:00:00,0.089,4.496,0.414,0.326,0.16,18.085
2022-01-03 10:00:00,0.107,4.746,0.567,0.498,0.189,19.562
2022-01-03 11:00:00,0.094,4.564,0.644,0.583,0.216,20.544
2022-01-03 12:00:00,0.066,4.123,0.682,0.636,0.223,21.263
2022-01-03 13:00:00,0.046,3.742,0.666,0.617,0.22,21.77
2022-01-03 14:00:00,0.043,3.676,0.588,0.512,0.214,22.061
2022-01-03 15:00:00,0.058,3.99,0.458,0.361,0.191,22.119
2022-01-03 16:00:00,0.097,4.612,0.272,0.18,0.146,21.905
2022-01-03 17:00:00,0.144,5.214,0.065,0.035,0.059,21.136
2022-01-03 18:00:00,0.185,5.649,0.0,0.0,0.0,19.721
2022-01-03 19:00:00,0.194,5.746,0.0,0.0,0.0,19.079
2022-01-03 20:00:00,0.188,5.68,0.0,0.0,0.0,18.426
2022-01-03 21:00:00,0.181,5.612,0.0,0.0,0.0,17.962
2022-01-03 22:00:00,0.161,5.396,0.0,0.0,0.0,17.62
2022-01-03 23:00:00,0.136,5.11,0.0,0.0,0.0,17.375
2022-01-04 00:00:00,0.112,4.817,0.0,0.0,0.0,17.117
2022-01-04 01:00:00,0.088,4.474,0.0,0.0,0.0,16.853
2022-01-04 02:00:00,0.07,4.193,0.0,0.0,0.0,16.693
2022-01-04 03:00:00,0.067,4.133,0.0,0.0,0.0,16.534
2022-01-04 04:00:00,0.074,4.259,0.0,0.0,0.0,16.388
2022-01-04 05:00:00,0.093,4.538,0.0,0.0,0.0,16.226
2022-01-04 06:00:00,0.126,4.989,0.0,0.0,0.0,16.089
2022-01-04 07:00:00,0.161,5.395,0.015,0.017,0.018,16.255
2022-01-04 08:00:00,0.144,5.2,0.215,0.15,0.105,17.676
2022-01-04 09:00:00,0.115,4.86,0.419,0.339,0.156,19.025
2022-01-04 10:00:00,0.056,3.948,0.582,0.532,0.177,20.203
2022-01-04 11:00:00,0.014,2.888,0.655,0.612,0.205,21.022
2022-01-04 12:00:00,0.002,1.992,0.69,0.658,0.214,21.622
2022-01-04 13:00:00,0.0,1.579,0.674,0.637,0.213,22.041
2022-01-04 14:00:00,0.0,1.668,0.603,0.545,0.202,22.25
2022-01-04 15:00:00,0.001,1.91,0.479,0.401,0.178,22.213
2022-01-04 16:00:00,0.003,2.232,0.304,0.227,0.135,22.003
2022-01-04 17:00:00,0.016,2.95,0.078,0.047,0.061,21.387
2022-01-04 18:00:00,0.053,3.889,0.0,0.0,0.0,20.152
2022-01-04 19:00:00,0.097,4.606,0.0,0.0,0.0,19.597
2022-01-04 20:00:00,0.135,5.101,0.0,0.0,0.0,19.153
2022-01-04 21:00:00,0.162,5.412,0.0,0.0,0.0,18.72
2022-01-04 22:00:00,0.152,5.293,0.0,0.0,0.0,18.279
2022-01-04 23:00:00,0.082,4.376,0.0,0.0,0.0,17.918
2022-01-05 00:00:00,0.02,3.098,0.0,0.0,0.0,17.752
2022-01-05 01:00:00,0.004,2.311,0.0,0.0,0.0,17.74
2022-01-05 02:00:00,0.007,2.529,0.0,0.0,0.0,17.636
2022-01-05 03:00:00,0.024,3.219,0.0,0.0,0.0,17.39
2022-01-05 04:00:00,0.061,4.028,0.0,0.0,0.0,17.171
2022-01-05 05:00:00,0.119,4.902,0.0,0.0,0.0,17.025
2022-01-05 06:00:00,0.181,5.613,0.0,0.0,0.0,16.981
2022-01-05 07:00:00,0.209,5.887,0.009,0.011,0.018,17.206
2022-01-05 08:00:00,0.162,5.414,0.141,0.06,0.115,18.329
2022-01-05 09:00:00,0.114,4.845,0.309,0.16,0.204,19.581
2022-01-05 10:00:00,0.053,3.885,0.46,0.292,0.257,20.651
2022-01-05 11:00:00,0.011,2.719,0.541,0.365,0.293,21.332
2022-01-05 12:00:00,0.002,2.058,0.557,0.364,0.318,21.787
2022-01-05 13:00:00,0.002,1.999,0.576,0.414,0.295,22.184
2022-01-05 14:00:00,0.002,2.133,0.531,0.386,0.262,22.382
2022-01-05 15:00:00,0.003,2.158,0.436,0.312,0.213,22.42
2022-01-05 16:00:00,0.001,1.96,0.266,0.165,0.155,22.304
2022-01-05 17:00:00,0.001,1.807,0.054,0.023,0.059,21.876
2022-01-05 18:00:00,0.001,1.871,0.0,0.0,0.0,20.808
2022-01-05 19:00:00,0.0,1.623,0.0,0.0,0.0,20.389
2022-01-05 20:00:00,0.0,1.303,0.0,0.0,0.0,20.116
2022-01-05 21:00:00,0.0,1.106,0.0,0.0,0.0,19.851
2022-01-05 22:00:00,0.0,1.239,0.0,0.0,0.0,19.476
2022-01-05 23:00:00,0.0,1.279,0.0,0.0,0.0,19.22
2022-01-06 00:00:00,0.0,0.948,0.0,0.0,0.0,19.097
2022-01-06 01:00:00,0.0,0.883,0.0,0.0,0.0,18.864
2022-01-06 02:00:00,0.0,1.517,0.0,0.0,0.0,18.393
2022-01-06 03:00:00,0.005,2.403,0.0,0.0,0.0,17.733
2022-01-06 04:00:00,0.049,3.802,0.0,0.0,0.0,17.211
2022-01-06 05:00:00,0.105,4.726,0.0,0.0,0.0,16.998
2022-01-06 06:00:00,0.13,5.031,0.0,0.0,0.0,16.858
2022-01-06 07:00:00,0.135,5.098,0.007,0.008,0.018,16.951
2022-01-06 08:00:00,0.117,4.875,0.146,0.062,0.118,17.768
2022-01-06 09:00:00,0.101,4.653,0.331,0.184,0.206,19.113
2022-01-06 10:00:00,0.079,4.333,0.516,0.386,0.238,21.062
2022-01-06 11:00:00,0.042,3.674,0.567,0.408,0.288,22.087
2022-01-06 12:00:00,0.018,3.015,0.548,0.342,0.331,22.607
2022-01-06 13:00:00,0.006,2.476,0.474,0.23,0.345,22.889
2022-01-06 14:00:00,0.004,2.303,0.436,0.218,0.308,23.066
2022-01-06 15:00:00,0.003,2.203,0.314,0.126,0.25,23.036
2022-01-06 16:00:00,0.002,2.116,0.171,0.053,0.159,22.838
2022-01-06 17:00:00,0.002,2.086,0.034,0.009,0.049,22.304
2022-01-06 18:00:00,0.004,2.27,0.0,0.0,0.0,21.544
2022-01-06 19:00:00,0.021,3.111,0.0,0.0,0.0,21.089
2022-01-06 20:00:00,0.072,4.224,0.0,0.0,0.0,20.498
2022-01-06 21:00:00,0.115,4.859,0.0,0.0,0.0,19.921
2022-01-06 22:00:00,0.142,5.19,0.0,0.0,0.0,19.416
2022-01-06 23:00:00,0.137,5.122,0.0,0.0,0.0,18.832
2022-01-07 00:00:00,0.133,5.071,0.0,0.0,0.0,18.213
2022-01-07 01:00:00,0.15,5.272,0.0,0.0,0.0,17.631
2022-01-07 02:00:00,0.167,5.461,0.0,0.0,0.0,17.143
2022-01-07 03:00:00,0.176,5.552,0.0,0.0,0.0,16.705
2022-01-07 04:00:00,0.194,5.738,0.0,0.0,0.0,16.393
2022-01-07 05:00:00,0.203,5.83,0.0,0.0,0.0,16.16
2022-01-07 06:00:00,0.205,5.849,0.0,0.0,0.0,16.045
2022-01-07 07:00:00,0.223,6.01,0.004,0.004,0.016,16.082
2022-01-07 08:00:00,0.216,5.949,0.143,0.061,0.116,16.932
2022-01-07 09:00:00,0.22,5.987,0.338,0.198,0.199,18.285
2022-01-07 10:00:00,0.223,6.008,0.501,0.362,0.239,19.805
2022-01-07 11:00:00,0.181,5.608,0.598,0.475,0.26,20.957
2022-01-07 12:00:00,0.118,4.888,0.643,0.536,0.265,21.693
2022-01-07 13:00:00,0.075,4.269,0.63,0.526,0.26,22.201
2022-01-07 14:00:00,0.048,3.798,0.55,0.423,0.251,22.49
2022-01-07 15:00:00,0.03,3.375,0.419,0.284,0.22,22.599
2022-01-07 16:00:00,0.024,3.205,0.236,0.124,0.161,22.488
2022-01-07 17:00:00,0.029,3.354,0.052,0.021,0.059,21.881
2022-01-07 18:00:00,0.051,3.849,0.0,0.0,0.0,20.79
2022-01-07 19:00:00,0.087,4.46,0.0,0.0,0.0,20.149
2022-01-07 20:00:00,0.124,4.974,0.0,0.0,0.0,19.436
2022-01-07 21:00:00,0.154,5.318,0.0,0.0,0.0,18.725
2022-01-07 22:00:00,0.173,5.526,0.0,0.0,0.0,18.093
2022-01-07 23:00:00,0.183,5.632,0.0,0.0,0.0,17.633
2022-01-08 00:00:00,0.195,5.748,0.0,0.0,0.0,17.265
2022-01-08 01:00:00,0.21,5.895,0.0,0.0,0.0,16.937
2022-01-08 02:00:00,0.213,5.93,0.0,0.0,0.0,16.643
2022-01-08 03:00:00,0.21,5.896,0.0,0.0,0.0,16.407
2022-01-08 04:00:00,0.212,5.919,0.0,0.0,0.0,16.174
2022-01-08 05:00:00,0.206,5.857,0.0,0.0,0.0,15.906
2022-01-08 06:00:00,0.212,5.92,0.0,0.0,0.0,15.582
2022-01-08 07:00:00,0.257,6.321,0.007,0.007,0.018,15.381
2022-01-08 08:00:00,0.261,6.348,0.164,0.078,0.12,15.959
2022-01-08 09:00:00,0.254,6.299,0.369,0.233,0.197,17.283
2022-01-08 10:00:00,0.21,5.897,0.527,0.393,0.237,18.799
2022-01-08 11:00:00,0.136,5.114,0.599,0.458,0.274,19.943
2022-01-08 12:00:00,0.073,4.239,0.624,0.477,0.293,20.641
2022-01-08 13:00:00,0.033,3.45,0.577,0.398,0.309,21.05
2022-01-08 14:00:00,0.012,2.785,0.488,0.293,0.295,21.268
2022-01-08 15:00:00,0.008,2.615,0.307,0.115,0.251,21.201
2022-01-08 16:00:00,0.028,3.323,0.152,0.037,0.151,20.922
2022-01-08 17:00:00,0.111,4.787,0.026,0.006,0.044,20.234
2022-01-08 18:00:00,0.264,6.375,0.0,0.0,0.0,19.198
2022-01-08 19:00:00,0.414,7.55,0.0,0.0,0.0,18.238
2022-01-08 20:00:00,0.501,8.178,0.0,0.0,0.0,17.203
2022-01-08 21:00:00,0.503,8.195,0.0,0.0,0.0,16.407
2022-01-08 22:00:00,0.467,7.934,0.0,0.0,0.0,15.88
2022-01-08 23:00:00,0.444,7.765,0.0,0.0,0.0,15.528
2022-01-09 00:00:00,0.434,7.695,0.0,0.0,0.0,15.229
2022-01-09 01:00:00,0.413,7.545,0.0,0.0,0.0,14.922
2022-01-09 02:00:00,0.398,7.429,0.0,0.0,0.0,14.611
2022-01-09 03:00:00,0.409,7.507,0.0,0.0,0.0,14.348
2022-01-09 04:00:00,0.442,7.752,0.0,0.0,0.0,14.146
2022-01-09 05:00:00,0.473,7.979,0.0,0.0,0.0,14.029
2022-01-09 06:00:00,0.501,8.184,0.0,0.0,0.0,13.967
2022-01-09 07:00:00,0.522,8.323,0.0,0.001,0.011,13.926
2022-01-09 08:00:00,0.509,8.236,0.071,0.009,0.088,14.213
2022-01-09 09:00:00,0.459,7.874,0.176,0.025,0.185,14.979
2022-01-09 10:00:00,0.374,7.253,0.261,0.041,0.263,15.858
2022-01-09 11:00:00,0.297,6.652,0.318,0.052,0.317,16.822
2022-01-09 12:00:00,0.231,6.081,0.336,0.055,0.337,17.626
2022-01-09 13:00:00,0.165,5.443,0.316,0.048,0.322,18.224
2022-01-09 14:00:00,0.131,5.04,0.266,0.036,0.278,18.6
2022-01-09 15:00:00,0.132,5.058,0.205,0.027,0.218,18.805
2022-01-09 16:00:00,0.155,5.33,0.111,0.013,0.13,18.743
2022-01-09 17:00:00,0.196,5.759,0.02,0.003,0.039,18.267
2022-01-09 18:00:00,0.27,6.427,0.0,0.0,0.0,17.38
2022-01-09 19:00:00,0.312,6.775,0.0,0.0,0.0,16.668
2022-01-09 20:00:00,0.3,6.676,0.0,0.0,0.0,16.028
2022-01-09 21:00:00,0.265,6.391,0.0,0.0,0.0,15.574
2022-01-09 22:00:00,0.224,6.027,0.0,0.0,0.0,15.193
2022-01-09 23:00:00,0.198,5.777,0.0,0.0,0.0,14.936
2022-01-10 00:00:00,0.178,5.567,0.0,0.0,0.0,14.819
2022-01-10 01:00:00,0.155,5.336,0.0,0.0,0.0,14.758
2022-01-10 02:00:00,0.132,5.055,0.0,0.0,0.0,14.725
2022-01-10 03:00:00,0.113,4.827,0.0,0.0,0.0,14.687
2022-01-10 04:00:00,0.1,4.64,0.0,0.0,0.0,14.665
2022-01-10 05:00:00,0.087,4.468,0.0,0.0,0.0,14.681
2022-01-10 06:00:00,0.084,4.412,0.0,0.0,0.0,14.75
2022-01-10 07:00:00,0.083,4.388,0.0,0.001,0.013,15.016
2022-01-10 08:00:00,0.061,4.028,0.084,0.014,0.098,15.843
2022-01-10 09:00:00,0.042,3.659,0.191,0.035,0.194,16.909
2022-01-10 10:00:00,0.032,3.429,0.299,0.067,0.283,18.033
2022-01-10 11:00:00,0.013,2.835,0.385,0.107,0.346,18.995
2022-01-10 12:00:00,0.001,1.799,0.374,0.085,0.357,19.649
2022-01-10 13:00:00,0.0,0.915,0.35,0.072,0.341,20.155
2022-01-10 14:00:00,0.001,1.795,0.328,0.075,0.313,20.553
2022-01-10 15:00:00,0.037,3.557,0.242,0.049,0.241,20.662
2022-01-10 16:00:00,0.179,5.588,0.131,0.022,0.145,20.503
2022-01-10 17:00:00,0.447,7.793,0.022,0.004,0.041,19.925
2022-01-10 18:00:00,0.733,10.049,0.0,0.0,0.0,18.834
2022-01-10 19:00:00,0.896,12.221,0.0,0.0,0.0,17.358
2022-01-10 20:00:00,0.934,13.147,0.0,0.0,0.0,15.89
2022-01-10 21:00:00,0.927,12.931,0.0,0.0,0.0,14.801
2022-01-10 22:00:00,0.902,12.357,0.0,0.0,0.0,14.256
2022-01-10 23:00:00,0.875,11.835,0.0,0.0,0.0,14.043
2022-01-11 00:00:00,0.868,11.709,0.0,0.0,0.0,13.81
2022-01-11 01:00:00,0.87,11.744,0.0,0.0,0.0,13.457
2022-01-11 02:00:00,0.879,11.896,0.0,0.0,0.0,13.062
2022-01-11 03:00:00,0.893,12.165,0.0,0.0,0.0,12.598
2022-01-11 04:00:00,0.896,12.212,0.0,0.0,0.0,12.017
2022-01-11 05:00:00,0.883,11.982,0.0,0.0,0.0,11.591
2022-01-11 06:00:00,0.867,11.707,0.0,0.0,0.0,11.447
2022-01-11 07:00:00,0.858,11.554,0.011,0.009,0.021,11.493
2022-01-11 08:00:00,0.86,11.585,0.21,0.133,0.112,12.284
2022-01-11 09:00:00,0.827,11.098,0.427,0.328,0.163,13.678
2022-01-11 10:00:00,0.721,9.934,0.585,0.506,0.19,15.381
2022-01-11 11:00:00,0.572,8.702,0.681,0.63,0.204,16.867
2022-01-11 12:00:00,0.417,7.572,0.717,0.684,0.21,18.02
2022-01-11 13:00:00,0.284,6.551,0.699,0.663,0.208,18.898
2022-01-11 14:00:00,0.2,5.794,0.625,0.567,0.199,19.489
2022-01-11 15:00:00,0.157,5.358,0.488,0.401,0.182,19.792
2022-01-11 16:00:00,0.143,5.193,0.296,0.206,0.144,19.772
2022-01-11 17:00:00,0.138,5.134,0.08,0.045,0.064,19.16
2022-01-11 18:00:00,0.159,5.382,0.0,0.0,0.0,17.755
2022-01-11 19:00:00,0.204,5.843,0.0,0.0,0.0,17.148
2022-01-11 20:00:00,0.245,6.21,0.0,0.0,0.0,16.552
2022-01-11 21:00:00,0.286,6.563,0.0,0.0,0.0,15.916
2022-01-11 22:00:00,0.322,6.849,0.0,0.0,0.0,15.265
2022-01-11 23:00:00,0.342,7.004,0.0,0.0,0.0,14.666
2022-01-12 00:00:00,0.35,7.071,0.0,0.0,0.0,14.138
2022-01-12 01:00:00,0.347,7.045,0.0,0.0,0.0,13.664
2022-01-12 02:00:00,0.35,7.072,0.0,0.0,0.0,13.232
2022-01-12 03:00:00,0.352,7.079,0.0,0.0,0.0,12.831
2022-01-12 04:00:00,0.335,6.954,0.0,0.0,0.0,12.454
2022-01-12 05:00:00,0.32,6.836,0.0,0.0,0.0,12.187
2022-01-12 06:00:00,0.302,6.696,0.0,0.0,0.0,12.045
2022-01-12 07:00:00,0.278,6.489,0.014,0.014,0.02,12.147
2022-01-12 08:00:00,0.192,5.722,0.209,0.127,0.116,13.103
2022-01-12 09:00:00,0.174,5.531,0.418,0.309,0.175,15.343
2022-01-12 10:00:00,0.11,4.784,0.569,0.473,0.208,17.38
2022-01-12 11:00:00,0.034,3.477,0.658,0.579,0.23,18.494
2022-01-12 12:00:00,0.002,2.077,0.694,0.626,0.239,19.095
2022-01-12 13:00:00,0.0,1.077,0.672,0.593,0.241,19.466
2022-01-12 14:00:00,0.0,0.919,0.553,0.411,0.258,19.666
2022-01-12 15:00:00,0.0,1.236,0.387,0.219,0.238,19.668
2022-01-12 16:00:00,0.0,1.431,0.2,0.077,0.164,19.538
2022-01-12 17:00:00,0.0,1.467,0.041,0.012,0.054,19.223
2022-01-12 18:00:00,0.0,1.536,0.0,0.0,0.0,18.626
2022-01-12 19:00:00,0.001,1.933,0.0,0.0,0.0,18.245
2022-01-12 20:00:00,0.008,2.606,0.0,0.0,0.0,17.913
2022-01-12 21:00:00,0.034,3.477,0.0,0.0,0.0,17.581
2022-01-12 22:00:00,0.088,4.48,0.0,0.0,0.0,17.209
2022-01-12 23:00:00,0.179,5.595,0.0,0.0,0.0,16.743
2022-01-13 00:00:00,0.279,6.506,0.0,0.0,0.0,16.159
2022-01-13 01:00:00,0.346,7.041,0.0,0.0,0.0,15.507
2022-01-13 02:00:00,0.386,7.332,0.0,0.0,0.0,14.888
2022-01-13 03:00:00,0.419,7.578,0.0,0.0,0.0,14.386
2022-01-13 04:00:00,0.454,7.839,0.0,0.0,0.0,14.013
2022-01-13 05:00:00,0.468,7.945,0.0,0.0,0.0,13.914
2022-01-13 06:00:00,0.476,7.999,0.0,0.0,0.0,13.971
2022-01-13 07:00:00,0.484,8.059,0.0,0.002,0.013,14.069
2022-01-13 08:00:00,0.467,7.933,0.076,0.013,0.091,14.677
2022-01-13 09:00:00,0.459,7.879,0.227,0.06,0.206,15.782
2022-01-13 10:00:00,0.441,7.742,0.42,0.202,0.289,17.181
2022-01-13 11:00:00,0.392,7.382,0.588,0.417,0.294,18.445
2022-01-13 12:00:00,0.31,6.749,0.644,0.5,0.294,19.433
2022-01-13 13:00:00,0.201,5.8,0.626,0.48,0.291,20.178
2022-01-13 14:00:00,0.123,4.957,0.546,0.385,0.278,20.653
2022-01-13 15:00:00,0.112,4.819,0.342,0.148,0.257,20.791
2022-01-13 16:00:00,0.144,5.214,0.143,0.03,0.15,20.646
2022-01-13 17:00:00,0.143,5.195,0.04,0.01,0.055,20.163
2022-01-13 18:00:00,0.142,5.184,0.0,0.0,0.001,18.959
2022-01-13 19:00:00,0.168,5.471,0.0,0.0,0.0,18.431
2022-01-13 20:00:00,0.194,5.744,0.0,0.0,0.0,17.915
2022-01-13 21:00:00,0.201,5.815,0.0,0.0,0.0,17.308
2022-01-13 22:00:00,0.211,5.912,0.0,0.0,0.0,16.72
2022-01-13 23:00:00,0.2,5.79,0.0,0.0,0.0,16.27
2022-01-14 00:00:00,0.184,5.64,0.0,0.0,0.0,16.064
2022-01-14 01:00:00,0.177,5.56,0.0,0.0,0.0,15.861
2022-01-14 02:00:00,0.164,5.431,0.0,0.0,0.0,15.636
2022-01-14 03:00:00,0.177,5.566,0.0,0.0,0.0,15.423
2022-01-14 04:00:00,0.186,5.666,0.0,0.0,0.0,15.235
2022-01-14 05:00:00,0.186,5.665,0.0,0.0,0.0,15.128
2022-01-14 06:00:00,0.186,5.658,0.0,0.0,0.0,15.072
2022-01-14 07:00:00,0.188,5.687,0.0,0.001,0.012,15.112
2022-01-14 08:00:00,0.16,5.388,0.074,0.011,0.09,15.739
2022-01-14 09:00:00,0.136,5.12,0.194,0.037,0.194,16.895
2022-01-14 10:00:00,0.132,5.055,0.338,0.101,0.294,18.07
2022-01-14 11:00:00,0.116,4.864,0.461,0.196,0.35,19.004
2022-01-14 12:00:00,0.095,4.586,0.506,0.236,0.37,19.713
2022-01-14 13:00:00,0.085,4.435,0.474,0.2,0.366,20.167
2022-01-14 14:00:00,0.081,4.369,0.406,0.153,0.329,20.439
2022-01-14 15:00:00,0.076,4.282,0.301,0.096,0.261,20.49
2022-01-14 16:00:00,0.064,4.088,0.174,0.047,0.167,20.365
2022-01-14 17:00:00,0.043,3.682,0.042,0.01,0.057,19.917
2022-01-14 18:00:00,0.03,3.365,0.0,0.0,0.0,19.047
2022-01-14 19:00:00,0.042,3.655,0.0,0.0,0.0,18.627
2022-01-14 20:00:00,0.087,4.459,0.0,0.0,0.0,18.273
2022-01-14 21:00:00,0.15,5.277,0.0,0.0,0.0,17.923
2022-01-14 22:00:00,0.204,5.843,0.0,0.0,0.0,17.63
2022-01-14 23:00:00,0.225,6.034,0.0,0.0,0.0,17.552
2022-01-15 00:00:00,0.22,5.983,0.0,0.0,0.0,17.636
2022-01-15 01:00:00,0.205,5.852,0.0,0.0,0.0,17.718
2022-01-15 02:00:00,0.194,5.746,0.0,0.0,0.0,17.801
2022-01-15 03:00:00,0.191,5.704,0.0,0.0,0.0,17.869
2022-01-15 04:00:00,0.183,5.633,0.0,0.0,0.0,17.914
2022-01-15 05:00:00,0.175,5.545,0.0,0.0,0.0,17.903
2022-01-15 06:00:00,0.167,5.467,0.0,0.0,0.0,17.861
2022-01-15 07:00:00,0.161,5.403,0.004,0.003,0.017,18.052
2022-01-15 08:00:00,0.147,5.249,0.123,0.04,0.116,19.084
2022-01-15 09:00:00,0.162,5.411,0.269,0.105,0.214,19.958
2022-01-15 10:00:00,0.167,5.459,0.379,0.162,0.288,20.766
2022-01-15 11:00:00,0.156,5.348,0.459,0.218,0.334,21.442
2022-01-15 12:00:00,0.155,5.322,0.536,0.312,0.341,21.992
2022-01-15 13:00:00,0.169,5.482,0.612,0.473,0.288,22.436
2022-01-15 14:00:00,0.186,5.666,0.555,0.421,0.262,22.548
2022-01-15 15:00:00,0.178,5.571,0.46,0.342,0.213,22.479
2022-01-15 16:00:00,0.133,5.075,0.283,0.179,0.16,22.241
2022-01-15 17:00:00,0.072,4.235,0.075,0.037,0.069,21.678
2022-01-15 18:00:00,0.028,3.335,0.0,0.0,0.001,20.572
2022-01-15 19:00:00,0.016,2.947,0.0,0.0,0.0,20.022
2022-01-15 20:00:00,0.027,3.31,0.0,0.0,0.0,19.603
2022-01-15 21:00:00,0.054,3.904,0.0,0.0,0.0,19.207
2022-01-15 22:00:00,0.091,4.524,0.0,0.0,0.0,18.9
2022-01-15 23:00:00,0.161,5.397,0.0,0.0,0.0,18.827
2022-01-16 00:00:00,0.22,5.987,0.0,0.0,0.0,18.816
2022-01-16 01:00:00,0.252,6.277,0.0,0.0,0.0,18.785
2022-01-16 02:00:00,0.254,6.3,0.0,0.0,0.0,18.733
2022-01-16 03:00:00,0.245,6.217,0.0,0.0,0.0,18.681
2022-01-16 04:00:00,0.235,6.131,0.0,0.0,0.0,18.641
2022-01-16 05:00:00,0.251,6.264,0.0,0.0,0.0,18.612
2022-01-16 06:00:00,0.307,6.73,0.0,0.0,0.0,18.643
2022-01-16 07:00:00,0.309,6.741,0.006,0.005,0.019,18.773
2022-01-16 08:00:00,0.295,6.641,0.143,0.058,0.121,19.526
2022-01-16 09:00:00,0.358,7.122,0.332,0.185,0.208,20.64
2022-01-16 10:00:00,0.346,7.041,0.525,0.404,0.235,21.684
2022-01-16 11:00:00,0.283,6.541,0.616,0.507,0.259,22.406
2022-01-16 12:00:00,0.2,5.79,0.657,0.562,0.266,22.875
2022-01-16 13:00:00,0.134,5.088,0.644,0.55,0.261,23.186
2022-01-16 14:00:00,0.084,4.417,0.554,0.424,0.259,23.294
2022-01-16 15:00:00,0.029,3.349,0.44,0.312,0.221,23.319
2022-01-16 16:00:00,0.0,1.665,0.265,0.155,0.164,23.171
2022-01-16 17:00:00,0.001,1.77,0.049,0.016,0.061,22.397
2022-01-16 18:00:00,0.274,6.465,0.0,0.0,0.001,20.614
2022-01-16 19:00:00,0.676,9.535,0.0,0.0,0.0,18.674
2022-01-16 20:00:00,0.805,10.824,0.0,0.0,0.0,16.745
2022-01-16 21:00:00,0.835,11.221,0.0,0.0,0.0,15.426
2022-01-16 22:00:00,0.81,10.885,0.0,0.0,0.0,14.804
2022-01-16 23:00:00,0.762,10.33,0.0,0.0,0.0,14.552
2022-01-17 00:00:00,0.722,9.944,0.0,0.0,0.0,14.459
